Month,Variant,Seasonality Factor,Economic Index,Industry Growth Rate (%)
2022-12,XXXV5,Medium,84.73,12.3
2023-01,XXX11,High,973.77,42.01
2023-01,XXX11,Low,749.85,21.57
2023-01,XXX11,Medium,644.07,42.3
2023-01,XXX12,High,125.78,6.27
2023-01,XXX12,Low,299.88,33.52
2023-01,XXX12,Medium,924.66,45.59
2023-01,XXX13,High,418.01,26.4
2023-01,XXX13,Low,114.33,5.01
2023-01,XXX13,Medium,520.74,43.21
2023-01,XXX15,High,437.79,9.209999999999999
2023-01,XXX15,Low,195.45,17.79
2023-01,XXX15,Medium,292.07,16.830000000000002
2023-01,XXX17,Medium,252.36,11.73
2023-01,XXX18,High,168.61,3.7799999999999994
2023-01,XXX18,Low,561.86,28.81
2023-01,XXX18,Medium,200.05,29.53
2023-01,XXXV1,High,1491.6299999999999,76.53
2023-01,XXXV1,Low,732.1,50.84
2023-01,XXXV1,Medium,872.87,38.54
2023-01,XXXV2,High,2357.23,143.85
2023-01,XXXV2,Low,3092.66,137.67
2023-01,XXXV2,Medium,2427.46,164.38
2023-01,XXXV3,High,644.61,26.25
2023-01,XXXV3,Low,418.03,17.42
2023-01,XXXV3,Medium,509.53,36.69
2023-01,XXXV4,High,231.39,-2.29
2023-01,XXXV4,Low,100.31,7.99
2023-01,XXXV4,Medium,99.16,2.78
2023-01,XXXV5,High,456.40999999999997,-12.82
2023-01,XXXV5,Low,765.34,38.93
2023-01,XXXV5,Medium,993.48,77.41
2023-01,XXXV9,High,66.29,6.86
2023-01,XXXV9,Low,52.54,14.95
2023-01,XXXV9,Medium,143.08,-3.31
2023-02,XXX11,High,563.75,36.57
2023-02,XXX11,Low,418.17,2.370000000000001
2023-02,XXX12,High,621.19,15.52
2023-02,XXX12,Low,623.41,33.47
2023-02,XXX12,Medium,393.1,22.68
2023-02,XXX13,High,302.32,21.99
2023-02,XXX13,Low,603.59,25.24
2023-02,XXX13,Medium,184.07999999999998,14.92
2023-02,XXX15,High,513.65,9.27
2023-02,XXX15,Low,114.92,0.47
2023-02,XXX17,Low,419.2,18.27
2023-02,XXX18,High,65.21,13.95
2023-02,XXX18,Low,132.82,9.35
2023-02,XXXV1,High,776.52,43.59
2023-02,XXXV1,Low,730.84,58.49
2023-02,XXXV1,Medium,660.98,59.33
2023-02,XXXV2,High,550.85,15.23
2023-02,XXXV2,Low,692.35,31.61
2023-02,XXXV2,Medium,394.5,13.610000000000001
2023-02,XXXV3,High,536.37,13.15
2023-02,XXXV3,Low,472.28,36.69
2023-02,XXXV3,Medium,413.62,24.7
2023-02,XXXV4,High,68.81,-2.48
2023-02,XXXV4,Medium,160.01,7.219999999999999
2023-02,XXXV5,High,446.89,11.51
2023-02,XXXV5,Low,234.19,1.21
2023-02,XXXV5,Medium,585.64,17.83
2023-03,XXX11,High,525.5699999999999,38.46
2023-03,XXX11,Low,1014.1,24.74
2023-03,XXX11,Medium,668.26,40.77
2023-03,XXX12,High,1059.71,56.08
2023-03,XXX12,Low,122.57,-0.63
2023-03,XXX12,Medium,641.0699999999999,8.719999999999999
2023-03,XXX13,High,285.0,12.16
2023-03,XXX13,Low,203.35000000000002,-8.61
2023-03,XXX13,Medium,198.47,24.740000000000002
2023-03,XXX15,High,96.87,8.46
2023-03,XXX15,Low,67.7,8.36
2023-03,XXX15,Medium,131.38,2.44
2023-03,XXX18,High,105.19,3.6
2023-03,XXX18,Low,186.23000000000002,9.78
2023-03,XXX18,Medium,429.76,3.49
2023-03,XXXV1,High,1109.98,44.81
2023-03,XXXV1,Low,1051.89,71.72
2023-03,XXXV1,Medium,688.55,36.339999999999996
2023-03,XXXV2,High,1931.29,71.66
2023-03,XXXV2,Low,1266.87,68.76
2023-03,XXXV2,Medium,1795.96,60.510000000000005
2023-03,XXXV3,High,848.63,18.04
2023-03,XXXV3,Low,214.06,20.64
2023-03,XXXV3,Medium,237.75,-7.52
2023-03,XXXV4,High,452.15999999999997,-0.74
2023-03,XXXV4,Low,82.88,11.03
2023-03,XXXV4,Medium,247.88,7.390000000000001
2023-03,XXXV5,High,756.9,44.24
2023-03,XXXV5,Low,419.92,30.85
2023-03,XXXV5,Medium,462.83000000000004,29.380000000000003
2023-03,XXXV9,Medium,261.31,-6.33
2023-04,XXX11,High,833.29,49.589999999999996
2023-04,XXX11,Low,499.46000000000004,43.29
2023-04,XXX11,Medium,641.85,66.05
2023-04,XXX12,High,343.65,19.43
2023-04,XXX12,Low,339.82,20.33
2023-04,XXX12,Medium,815.72,55.41
2023-04,XXX13,High,485.82,26.44
2023-04,XXX13,Low,689.01,42.22
2023-04,XXX13,Medium,274.05,22.1
2023-04,XXX15,High,458.31,38.93
2023-04,XXX15,Low,785.27,39.29
2023-04,XXX15,Medium,251.92999999999998,-4.27
2023-04,XXX17,High,107.45,4.55
2023-04,XXX17,Low,94.34,12.07
2023-04,XXX17,Medium,282.43,26.89
2023-04,XXX18,High,53.93,12.7
2023-04,XXX18,Low,83.89,9.36
2023-04,XXXV1,High,2590.5,116.39999999999999
2023-04,XXXV1,Low,1920.56,136.15
2023-04,XXXV1,Medium,423.44,42.839999999999996
2023-04,XXXV2,High,1729.82,98.58
2023-04,XXXV2,Low,2422.71,98.1
2023-04,XXXV2,Medium,2398.14,93.3
2023-04,XXXV3,High,381.68,-2.65
2023-04,XXXV3,Low,466.71,18.91
2023-04,XXXV3,Medium,540.1,32.690000000000005
2023-04,XXXV4,High,145.96,2.63
2023-04,XXXV4,Low,344.22,28.509999999999998
2023-04,XXXV4,Medium,353.76,2.129999999999999
2023-04,XXXV5,High,432.56,12.530000000000001
2023-04,XXXV5,Low,352.41,8.78
2023-04,XXXV5,Medium,440.2,20.55
2023-05,XXX11,High,290.54999999999995,16.49
2023-05,XXX11,Low,639.29,53.38
2023-05,XXX11,Medium,144.73,1.8699999999999999
2023-05,XXX12,High,832.63,47.62
2023-05,XXX12,Low,353.4,21.06
2023-05,XXX12,Medium,363.44,27.54
2023-05,XXX13,High,98.6,14.53
2023-05,XXX13,Low,242.09,21.03
2023-05,XXX13,Medium,179.43,25.82
2023-05,XXX15,High,50.46,9.57
2023-05,XXX15,Low,219.84,-2.61
2023-05,XXX15,Medium,842.22,55.730000000000004
2023-05,XXX17,Low,112.01,-2.67
2023-05,XXX18,High,385.56,11.650000000000002
2023-05,XXX18,Low,75.18,12.59
2023-05,XXX18,Medium,233.5,-0.7800000000000002
2023-05,XXXV1,High,928.62,39.47
2023-05,XXXV1,Low,824.35,54.980000000000004
2023-05,XXXV1,Medium,2186.89,63.44
2023-05,XXXV2,High,2424.89,98.75
2023-05,XXXV2,Low,1720.1499999999999,89.68
2023-05,XXXV2,Medium,2052.91,86.55
2023-05,XXXV3,High,565.04,36.39
2023-05,XXXV3,Low,544.16,28.87
2023-05,XXXV3,Medium,597.8199999999999,50.43
2023-05,XXXV4,High,434.25,33.26
2023-05,XXXV4,Low,235.82999999999998,8.71
2023-05,XXXV4,Medium,301.53999999999996,7.49
2023-05,XXXV5,High,404.36,14.94
2023-05,XXXV5,Low,113.64,3.22
2023-05,XXXV5,Medium,124.39,3.06
2023-06,XXX11,High,334.64,2.4299999999999997
2023-06,XXX11,Low,100.55,4.28
2023-06,XXX11,Medium,533.39,32.95
2023-06,XXX12,High,413.28,15.69
2023-06,XXX12,Low,763.81,26.830000000000002
2023-06,XXX12,Medium,183.68,20.29
2023-06,XXX13,Low,91.46,10.15
2023-06,XXX13,Medium,113.69,4.49
2023-06,XXX15,Low,361.42,8.04
2023-06,XXX15,Medium,312.34000000000003,8.0
2023-06,XXX17,High,168.23000000000002,11.66
2023-06,XXX17,Low,110.11,3.93
2023-06,XXX18,High,87.12,0.88
2023-06,XXXV1,High,1608.0,49.83
2023-06,XXXV1,Low,1048.07,56.6
2023-06,XXXV1,Medium,1103.31,52.07
2023-06,XXXV2,High,1343.22,44.76
2023-06,XXXV2,Low,1001.45,55.92999999999999
2023-06,XXXV2,Medium,838.71,55.81
2023-06,XXXV3,High,604.33,15.45
2023-06,XXXV3,Low,283.31,-0.7799999999999998
2023-06,XXXV3,Medium,675.14,11.899999999999999
2023-06,XXXV4,High,306.65999999999997,23.17
2023-06,XXXV4,Low,235.48,7.33
2023-06,XXXV4,Medium,77.07,1.13
2023-06,XXXV5,High,145.61,7.38
2023-06,XXXV5,Medium,264.64,17.27
2023-07,XXX11,High,459.51,18.96
2023-07,XXX11,Low,539.59,5.41
2023-07,XXX11,Medium,1206.98,33.99
2023-07,XXX12,High,639.72,14.759999999999998
2023-07,XXX12,Low,1223.42,64.47
2023-07,XXX12,Medium,609.7,15.38
2023-07,XXX13,High,815.54,34.45
2023-07,XXX13,Low,699.4399999999999,55.989999999999995
2023-07,XXX13,Medium,663.1,21.939999999999998
2023-07,XXX15,High,215.78000000000003,19.939999999999998
2023-07,XXX15,Low,212.29,12.44
2023-07,XXX17,Medium,56.54,7.67
2023-07,XXX18,High,176.67000000000002,12.02
2023-07,XXX18,Low,118.77,-0.11
2023-07,XXXV1,High,2191.55,116.7
2023-07,XXXV1,Low,2341.98,121.02
2023-07,XXXV1,Medium,2724.44,184.53
2023-07,XXXV2,High,2378.41,73.8
2023-07,XXXV2,Low,2191.12,99.87
2023-07,XXXV2,Medium,2740.66,126.26
2023-07,XXXV3,High,849.86,36.06
2023-07,XXXV3,Low,1165.09,57.309999999999995
2023-07,XXXV3,Medium,568.84,25.150000000000002
2023-07,XXXV4,High,264.88,13.44
2023-07,XXXV4,Medium,77.41,14.77
2023-07,XXXV5,High,262.27,27.529999999999998
2023-07,XXXV5,Low,195.07,1.16
2023-07,XXXV5,Medium,563.1700000000001,54.56
2023-08,XXX11,High,827.76,18.21
2023-08,XXX11,Low,288.31,-4.529999999999999
2023-08,XXX11,Medium,138.87,11.4
2023-08,XXX12,High,249.25,9.989999999999998
2023-08,XXX12,Low,316.21000000000004,15.340000000000002
2023-08,XXX12,Medium,616.46,25.17
2023-08,XXX13,High,221.49,16.490000000000002
2023-08,XXX13,Low,332.39,9.15
2023-08,XXX13,Medium,309.9,5.5600000000000005
2023-08,XXX15,High,118.33,-1.2
2023-08,XXX15,Medium,304.41,11.65
2023-08,XXX17,Medium,90.85,12.96
2023-08,XXXV1,High,1417.05,72.03999999999999
2023-08,XXXV1,Low,1370.92,79.72
2023-08,XXXV1,Medium,1489.18,61.05
2023-08,XXXV2,High,1316.52,65.44
2023-08,XXXV2,Low,1224.65,75.81
2023-08,XXXV2,Medium,1228.79,39.3
2023-08,XXXV3,High,209.97,5.209999999999999
2023-08,XXXV3,Low,288.26,19.4
2023-08,XXXV3,Medium,484.51,38.019999999999996
2023-08,XXXV4,High,144.45,16.09
2023-08,XXXV4,Low,204.2,9.76
2023-08,XXXV4,Medium,188.81,11.190000000000001
2023-08,XXXV5,High,256.64,17.48
2023-08,XXXV5,Low,586.47,28.439999999999998
2023-08,XXXV5,Medium,132.85,3.76
2023-09,XXX11,High,475.0,28.14
2023-09,XXX11,Low,798.06,46.629999999999995
2023-09,XXX11,Medium,326.43,3.18
2023-09,XXX12,High,564.6,20.299999999999997
2023-09,XXX12,Low,81.76,14.68
2023-09,XXX12,Medium,325.21,7.0
2023-09,XXX13,High,297.34000000000003,26.07
2023-09,XXX13,Low,676.99,24.53
2023-09,XXX13,Medium,197.88,0.3099999999999996
2023-09,XXX15,High,229.62,10.32
2023-09,XXX15,Medium,217.17000000000002,14.7
2023-09,XXX17,High,128.89,1.03
2023-09,XXX17,Medium,81.33,8.54
2023-09,XXX18,Low,143.72,-1.75
2023-09,XXX18,Medium,133.7,0.02
2023-09,XXXV1,High,378.99,25.66
2023-09,XXXV1,Low,1380.47,39.66
2023-09,XXXV1,Medium,683.1700000000001,30.58
2023-09,XXXV2,High,612.1800000000001,21.16
2023-09,XXXV2,Low,1094.67,56.14
2023-09,XXXV2,Medium,205.48000000000002,15.16
2023-09,XXXV3,High,137.86,8.51
2023-09,XXXV3,Low,400.75,14.15
2023-09,XXXV4,High,449.18,12.77
2023-09,XXXV4,Medium,84.19,3.03
2023-09,XXXV5,High,561.17,34.68
2023-09,XXXV5,Low,231.97,18.78
2023-09,XXXV5,Medium,530.73,42.45
2023-09,XXXV9,Medium,84.78,-3.86
2023-10,XXX11,Low,560.41,29.700000000000003
2023-10,XXX11,Medium,243.03,18.259999999999998
2023-10,XXX12,High,453.14,26.259999999999998
2023-10,XXX12,Low,237.14,35.11
2023-10,XXX12,Medium,330.14,33.91
2023-10,XXX13,High,178.87,4.24
2023-10,XXX13,Low,118.05,-2.51
2023-10,XXX13,Medium,76.76,2.51
2023-10,XXX15,High,68.55,2.62
2023-10,XXX15,Medium,265.15,21.669999999999998
2023-10,XXX17,Low,101.9,0.3
2023-10,XXX18,High,128.89,6.369999999999999
2023-10,XXX18,Medium,303.8,30.92
2023-10,XXXV1,High,1156.5900000000001,77.65
2023-10,XXXV1,Low,969.57,32.010000000000005
2023-10,XXXV1,Medium,351.51,18.63
2023-10,XXXV2,High,1452.01,95.03
2023-10,XXXV2,Low,1645.57,94.55
2023-10,XXXV2,Medium,1544.78,94.43
2023-10,XXXV3,High,196.82000000000002,0.98
2023-10,XXXV3,Low,336.11,20.130000000000003
2023-10,XXXV4,Low,228.95000000000002,18.8
2023-10,XXXV4,Medium,237.87,14.260000000000002
2023-10,XXXV5,High,218.2,20.97
2023-10,XXXV5,Low,389.38,4.67
2023-10,XXXV5,Medium,211.71,12.41
2023-11,XXX11,High,293.33000000000004,36.68
2023-11,XXX11,Low,556.25,26.94
2023-11,XXX11,Medium,403.0,27.8
2023-11,XXX12,High,1008.77,4.039999999999999
2023-11,XXX12,Low,420.99,8.95
2023-11,XXX13,High,220.07,0.8199999999999998
2023-11,XXX13,Medium,137.18,-4.52
2023-11,XXX15,High,305.33,20.55
2023-11,XXX15,Low,234.29000000000002,9.83
2023-11,XXX15,Medium,110.0,5.47
2023-11,XXX17,High,79.17,-0.46
2023-11,XXX17,Low,104.76,-2.15
2023-11,XXX18,Medium,57.56,10.93
2023-11,XXXV1,High,872.34,28.35
2023-11,XXXV1,Low,499.44,32.6
2023-11,XXXV1,Medium,378.1,6.15
2023-11,XXXV2,High,657.22,37.980000000000004
2023-11,XXXV2,Low,636.15,3.0700000000000003
2023-11,XXXV2,Medium,827.55,11.17
2023-11,XXXV3,High,345.68999999999994,21.82
2023-11,XXXV3,Low,130.24,5.95
2023-11,XXXV3,Medium,607.88,18.53
2023-11,XXXV4,Low,233.02,8.1
2023-11,XXXV4,Medium,121.41,5.37
2023-11,XXXV5,High,179.11,20.96
2023-11,XXXV5,Low,318.31,27.869999999999997
2023-11,XXXV5,Medium,556.35,39.39
2023-12,XXX11,High,511.63,20.16
2023-12,XXX11,Low,276.63,36.19
2023-12,XXX11,Medium,100.06,3.45
2023-12,XXX12,High,143.7,14.45
2023-12,XXX12,Low,573.5,34.38
2023-12,XXX12,Medium,640.63,16.439999999999998
2023-12,XXX13,High,314.28999999999996,-5.209999999999999
2023-12,XXX13,Low,287.16999999999996,24.37
2023-12,XXX13,Medium,234.86,3.2800000000000002
2023-12,XXX15,High,258.31,14.16
2023-12,XXX17,Medium,63.09,6.07
2023-12,XXXV1,High,755.99,16.939999999999998
2023-12,XXXV1,Low,927.3199999999999,67.68
2023-12,XXXV1,Medium,764.44,24.79
2023-12,XXXV2,High,860.43,40.519999999999996
2023-12,XXXV2,Low,1307.3,51.05
2023-12,XXXV2,Medium,872.6899999999999,47.809999999999995
2023-12,XXXV3,Low,346.92,12.399999999999999
2023-12,XXXV3,Medium,75.99,9.72
2023-12,XXXV4,Low,205.06,8.85
2023-12,XXXV4,Medium,162.28,10.62
2023-12,XXXV5,High,576.62,45.69
2023-12,XXXV5,Low,177.53,1.8499999999999999
2023-12,XXXV5,Medium,493.03,30.68
2024-01,XXX11,High,363.03999999999996,15.75
2024-01,XXX11,Low,225.62,17.86
2024-01,XXX11,Medium,75.1,-4.61
2024-01,XXX12,High,499.65000000000003,38.37
2024-01,XXX12,Low,594.89,51.870000000000005
2024-01,XXX12,Medium,661.55,58.0
2024-01,XXX13,Low,257.69,11.51
2024-01,XXX15,High,233.46,25.34
2024-01,XXX15,Low,184.74,16.98
2024-01,XXX15,Medium,123.64,0.23
2024-01,XXX17,High,101.98,10.6
2024-01,XXX18,Medium,70.58,0.71
2024-01,XXXV1,High,880.22,45.629999999999995
2024-01,XXXV1,Low,1490.4,88.65
2024-01,XXXV1,Medium,1541.98,66.05
2024-01,XXXV2,High,2000.36,93.51
2024-01,XXXV2,Low,1001.4000000000001,35.72
2024-01,XXXV2,Medium,908.7,17.919999999999998
2024-01,XXXV3,High,57.35,-4.5
2024-01,XXXV3,Low,388.53,20.64
2024-01,XXXV3,Medium,149.48,4.6
2024-01,XXXV4,High,156.32999999999998,-2.0700000000000003
2024-01,XXXV4,Low,201.35000000000002,4.36
2024-01,XXXV4,Medium,287.07,11.93
2024-01,XXXV5,High,838.52,20.689999999999998
2024-01,XXXV5,Low,1386.8,51.78
2024-01,XXXV5,Medium,1335.61,65.33
2024-02,XXX11,High,106.73,8.25
2024-02,XXX11,Low,244.25,30.02
2024-02,XXX11,Medium,213.76,20.85
2024-02,XXX12,High,393.09,30.82
2024-02,XXX12,Low,447.12,21.01
2024-02,XXX12,Medium,82.7,12.18
2024-02,XXX13,High,465.37,27.59
2024-02,XXX13,Low,431.54999999999995,5.609999999999999
2024-02,XXX13,Medium,508.03,12.02
2024-02,XXX15,High,362.03999999999996,18.84
2024-02,XXX15,Medium,102.52,-2.25
2024-02,XXX17,High,116.76,5.0
2024-02,XXX17,Low,50.58,14.53
2024-02,XXX17,Medium,124.19,11.36
2024-02,XXX18,High,139.8,4.72
2024-02,XXX18,Low,108.02,10.67
2024-02,XXX18,Medium,60.18,11.51
2024-02,XXXV1,High,738.49,22.64
2024-02,XXXV1,Low,840.29,48.27
2024-02,XXXV1,Medium,752.8000000000001,46.34
2024-02,XXXV2,High,1442.13,104.84
2024-02,XXXV2,Low,1283.52,101.0
2024-02,XXXV2,Medium,1634.23,55.18
2024-02,XXXV3,High,243.04000000000002,-4.970000000000001
2024-02,XXXV3,Low,485.17,14.360000000000001
2024-02,XXXV3,Medium,349.5,19.61
2024-02,XXXV4,Low,198.52,0.9499999999999997
2024-02,XXXV4,Medium,280.79,24.17
2024-02,XXXV5,High,704.0,70.73
2024-02,XXXV5,Low,898.88,48.18
2024-02,XXXV5,Medium,1387.96,80.9
2024-03,XXX11,High,572.71,29.08
2024-03,XXX11,Low,85.5,-2.23
2024-03,XXX11,Medium,349.74,18.3
2024-03,XXX12,High,132.26,9.41
2024-03,XXX12,Low,349.07,20.33
2024-03,XXX12,Medium,538.5,35.480000000000004
2024-03,XXX13,High,59.57,2.26
2024-03,XXX13,Low,236.76,10.969999999999999
2024-03,XXX13,Medium,201.20999999999998,18.79
2024-03,XXX15,High,119.72,-2.88
2024-03,XXX15,Low,123.67,12.399999999999999
2024-03,XXX15,Medium,104.64,2.13
2024-03,XXX17,High,266.53,13.57
2024-03,XXX17,Medium,128.05,5.98
2024-03,XXX18,Low,52.36,12.59
2024-03,XXX18,Medium,119.51,-0.02
2024-03,XXXV1,High,1155.16,41.44
2024-03,XXXV1,Low,858.49,32.94
2024-03,XXXV1,Medium,1313.25,69.62
2024-03,XXXV2,High,1372.31,38.28
2024-03,XXXV2,Low,1832.08,79.18
2024-03,XXXV2,Medium,951.0500000000001,55.83
2024-03,XXXV3,High,185.62,17.36
2024-03,XXXV3,Low,825.49,9.46
2024-03,XXXV3,Medium,799.61,57.94
2024-03,XXXV4,High,378.57,2.6800000000000006
2024-03,XXXV4,Low,225.55,12.13
2024-03,XXXV4,Medium,1010.5699999999999,60.04
2024-03,XXXV5,High,1065.85,62.839999999999996
2024-03,XXXV5,Low,650.5699999999999,18.68
2024-03,XXXV5,Medium,757.63,41.07
2024-04,XXX11,High,404.35,5.1400000000000015
2024-04,XXX11,Low,213.55,-4.949999999999999
2024-04,XXX11,Medium,550.58,24.44
2024-04,XXX12,High,1356.8,53.97
2024-04,XXX12,Low,132.61,-4.29
2024-04,XXX12,Medium,713.83,34.21
2024-04,XXX13,High,89.87,13.11
2024-04,XXX13,Medium,315.68,16.650000000000002
2024-04,XXX15,High,71.6,13.19
2024-04,XXX15,Medium,114.08,-3.59
2024-04,XXX17,Low,56.84,5.9
2024-04,XXX18,High,128.38,0.39
2024-04,XXXV1,High,1928.02,68.79
2024-04,XXXV1,Low,1162.8400000000001,84.19
2024-04,XXXV1,Medium,2058.78,80.49
2024-04,XXXV2,High,2128.92,106.28
2024-04,XXXV2,Low,1595.15,80.17999999999999
2024-04,XXXV2,Medium,1499.7,53.33
2024-04,XXXV3,High,555.03,20.12
2024-04,XXXV3,Low,661.31,14.280000000000001
2024-04,XXXV3,Medium,320.14,16.88
2024-04,XXXV4,High,58.09,3.07
2024-04,XXXV4,Low,142.98000000000002,18.56
2024-04,XXXV4,Medium,62.14,13.18
2024-04,XXXV5,High,76.31,-4.22
2024-04,XXXV5,Low,408.0,20.78
2024-04,XXXV5,Medium,417.78,6.5
2024-04,XXXV9,High,119.5,-4.74
